iter	Passed	Remaining
0	81	81680
1	82	41238
2	83	27741
3	84	21004
4	85	16935
5	85	14222
6	86	12275
7	87	10817
8	87	9683
9	88	8776
10	89	8050
11	90	7440
12	91	6924
13	91	6469
14	92	6073
15	93	5728
16	93	5423
17	94	5152
18	95	4916
19	96	4706
20	96	4520
21	97	4343
22	98	4179
23	99	4030
24	99	3892
25	100	3766
26	101	3652
27	102	3575
28	103	3478
29	104	3385
30	105	3293
31	106	3208
32	106	3130
33	107	3065
34	108	3000
35	109	2934
36	110	2869
37	110	2809
38	111	2753
39	112	2699
40	113	2647
41	114	2611
42	115	2565
43	116	2524
44	117	2487
45	118	2447
46	118	2408
47	119	2372
48	120	2343
49	121	2311
50	122	2280
51	123	2249
52	124	2218
53	124	2187
54	126	2165
55	126	2138
56	127	2112
57	128	2088
58	129	2062
59	129	2036
60	130	2011
61	131	1988
62	132	1966
63	133	1948
64	134	1929
65	134	1908
66	135	1887
67	136	1867
68	136	1847
69	137	1830
70	138	1813
71	139	1797
72	140	1779
73	140	1761
74	141	1745
75	142	1729
76	142	1712
77	143	1697
78	144	1683
79	145	1669
80	145	1655
81	146	1641
82	147	1624
83	147	1610
84	148	1596
85	149	1583
86	149	1570
87	150	1559
88	151	1549
89	152	1539
90	153	1528
91	153	1517
92	154	1506
93	155	1495
94	155	1484
95	156	1473
96	157	1463
97	158	1454
98	158	1444
99	159	1435
100	160	1426
101	161	1418
102	161	1409
103	162	1400
104	163	1393
105	164	1386
106	165	1379
107	165	1370
108	166	1362
109	167	1353
110	167	1345
111	168	1337
112	169	1329
113	170	1323
114	171	1316
115	171	1309
116	172	1300
117	173	1294
118	173	1286
119	174	1279
120	175	1272
121	175	1265
122	176	1260
123	177	1253
124	178	1246
125	178	1240
126	179	1232
127	180	1227
128	180	1221
129	181	1215
130	182	1210
131	183	1205
132	184	1201
133	184	1195
134	185	1189
135	186	1183
136	186	1177
137	187	1171
138	188	1167
139	189	1162
140	190	1157
141	190	1151
142	191	1146
143	192	1141
144	192	1136
145	193	1132
146	194	1127
147	195	1123
148	195	1118
149	196	1114
150	197	1109
151	198	1105
152	198	1100
153	199	1095
154	200	1091
155	200	1087
156	201	1083
157	202	1079
158	203	1074
159	203	1070
160	204	1065
161	205	1061
162	205	1057
163	206	1053
164	207	1049
165	208	1047
166	209	1043
167	209	1039
168	210	1035
169	211	1031
170	211	1027
171	212	1023
172	213	1020
173	214	1017
174	215	1014
175	215	1010
176	216	1007
177	217	1003
178	218	999
179	218	996
180	219	995
181	220	992
182	221	989
183	222	986
184	223	983
185	223	979
186	224	976
187	225	972
188	226	970
189	227	968
190	227	965
191	228	962
192	229	959
193	230	956
194	230	953
195	231	950
196	232	948
197	233	945
198	234	942
199	234	939
200	235	936
201	236	933
202	236	930
203	237	926
204	238	923
205	239	921
206	239	919
207	240	917
208	241	914
209	242	911
210	242	908
211	243	905
212	244	902
213	245	900
214	246	898
215	246	896
216	247	893
217	248	890
218	249	888
219	249	885
220	250	882
221	251	881
222	252	878
223	253	876
224	253	873
225	254	871
226	255	869
227	256	866
228	256	864
229	257	862
230	258	860
231	259	859
232	260	857
233	261	854
234	261	852
235	262	850
236	263	848
237	264	846
238	265	844
239	266	842
240	266	840
241	267	838
242	268	836
243	269	835
244	271	835
245	272	833
246	272	832
247	273	830
248	274	827
249	275	825
250	275	823
251	276	821
252	277	819
253	278	817
254	278	815
255	279	812
256	280	810
257	281	808
258	281	806
259	282	804
260	283	802
261	284	800
262	284	798
263	285	796
264	286	794
265	287	792
266	287	790
267	288	788
268	289	787
269	290	784
270	291	783
271	291	781
272	292	779
273	293	777
274	294	775
275	295	774
276	296	772
277	297	771
278	298	770
279	298	768
280	299	767
281	300	765
282	301	763
283	302	762
284	303	760
285	304	759
286	304	757
287	305	755
288	306	753
289	307	751
290	307	750
291	308	748
292	309	746
293	310	745
294	311	743
295	311	741
296	312	739
297	313	737
298	314	736
299	314	734
300	315	733
301	316	731
302	317	730
303	318	728
304	318	726
305	319	724
306	320	723
307	321	721
308	322	720
309	322	718
310	323	716
311	324	714
312	324	712
313	325	711
314	326	709
315	327	708
316	327	706
317	328	705
318	329	703
319	330	701
320	330	700
321	331	698
322	332	696
323	333	695
324	334	694
325	335	693
326	336	691
327	336	690
328	337	688
329	338	686
330	339	685
331	339	684
332	340	682
333	341	681
334	342	679
335	342	677
336	343	676
337	344	674
338	345	672
339	345	671
340	346	669
341	347	668
342	348	667
343	348	665
344	349	663
345	350	662
346	351	660
347	351	659
348	352	657
349	353	656
350	354	655
351	355	654
352	356	653
353	357	651
354	358	650
355	358	649
356	359	647
357	360	647
358	361	645
359	362	644
360	363	643
361	364	641
362	364	640
363	365	639
364	366	637
365	367	636
366	368	635
367	368	633
368	369	632
369	370	630
370	371	629
371	372	628
372	372	626
373	373	625
374	374	624
375	375	622
376	376	621
377	376	620
378	377	618
379	378	617
380	379	616
381	380	614
382	380	613
383	381	612
384	382	610
385	383	609
